hotel_name,rating,total_review,hotel_star,price,facility_pool,facility_wifi,facility_breakfast,facility_beach_access,facility_spa,coordinate,image,cluster_hotel
Tarsan Homestay,4.4,32,3-star hotel,296000,Yes,Yes,No,No,No,"-8.487803071237106, 119.88369709648583",https://lh3.googleusercontent.com/proxy/cIm5STc3YE80UiuWuLX5RqnMCr7fY-RWsu16HmbKKR3x1FKPU4AQylHzjGyxQclDCVXcELvMQUiZEVDVDIrlD7VJRZHwufqWbq5UDH1XdFgCPcWlDqJC4ZF3QxDISXnRbKA4nIpdFq2BSZ7FYilO-xkI2SW0rg=w437-h240-k-no,Basic
Golo Tango Homestay,4.8,30,3-star hotel,351000,No,Yes,Yes,No,No,"-8.490684393886903, 119.88546182532156",https://lh5.googleusercontent.com/proxy/y7AtEnP62fXBeqTx3AhVYqFbPVAFMkDw_JzkmAMoBXoKV5VgUip36e2GpvmGXox5RZ0qg1yhlqqBwuX6fnjCHRt1bvrceK5eRsVJzCwJ8Dm7hdvy1OtPWn78sqbmmZKuSoHdmW1RuWfSrmpnMnFBmx6PdtUPsjU=w408-h306-k-no,Basic
Bintang Flores Hotel,4.4,1292,4-star hotel,1240000,Yes,Yes,Yes,No,No,"-8.510840668598057, 119.87692874689506",https://lh5.googleusercontent.com/p/AF1QipPiVJ0j_wmDrNHBIVhhqUiuf5pPDrXSG4lhmkfg=w408-h272-k-no,King
Manta Manta Homestay,3.8,91,3-star hotel,270000,No,Yes,No,No,No,"-8.493611593884859, 119.87931276765009",https://lh5.googleusercontent.com/p/AF1QipO-72CjEo-E-KIfIdNw0kutXUSr85TYaIXOJl6D=w408-h409-k-no,Basic
El Ora Inn & Eatery Labuan Bajo,4.9,70,3-star hotel,338000,No,Yes,No,No,No,"-8.495642804993047, 119.88567940997866",https://lh5.googleusercontent.com/p/AF1QipNAU0ZYbaZu8yyAtl-tccGQLE_Rn-XeZF9FCp5w=w523-h240-k-no,Basic
OYO 841 Orange Hotel,3.3,143,4-star hotel,535000,No,Yes,Yes,No,No,"-8.490532460136034, 119.87727733881425",https://lh5.googleusercontent.com/p/AF1QipOm3RhtiS8p0JRqgXIdGe03Q7Y6M5ttHy5QcNrp=w426-h240-k-no,Deluxe
Laprima Hotel,4.3,1734,4-star hotel,916000,Yes,No,Yes,No,Yes,"-8.504417769950372, 119.87869669648593",https://lh6.googleusercontent.com/proxy/CXXJbEIZ_SXTnS5g-745P1by6473ZF5K3r1g-2dpFMScVXkGszi57J83eJ1cHlLwpv9OO6L-aRuIo8bEt9Klp8FqXjflG-FrYtZHZyyEOLRQSzgrh7CEinzrfV2n_hKyqNj7PC72exp2WeyqjKx31g8vMXS56g=w408-h272-k-no,King
CF Komodo Hotel,3.3,120,2-star hotel,284000,No,Yes,Yes,No,No,"-8.492223605089974, 119.88165112532155",https://lh3.googleusercontent.com/proxy/bw6IZEExnhoeMyrR_KKsWyyPVnKpl5w1zCLLnKpHYPk_i6HdDIZEVt3ibMKFRIkinkYB6cKbuaQSkMP1o_lZ5EMCkRCl8oBRKaFgMAp-51pESwxDnxoAyN-ZjXyhRW5CqIRuf66Kt1-Gve17vEoATZEVx6IOiQ=w408-h306-k-no,Basic
DANKE LODGE,4.6,134,1-star hotel,280000,No,Yes,No,No,No,"-8.485875705269864, 119.8967785964857",https://lh5.googleusercontent.com/p/AF1QipO68ZFavs6bHqGVcsTGhnhhkIwact8L7TZBK8kD=w408-h544-k-no,Basic
de Credo RedPartner,4.5,2,2-star hotel,291000,No,Yes,No,No,No,"-8.485899359755148, 119.89694106765003",https://lh5.googleusercontent.com/p/AF1QipO3b0eKCsm4Zem0M1qWHZeGIpplAOUI2MsQlCgZ=w408-h306-k-no,Basic
Green Hill Boutique Hotel,3.9,262,1-star hotel,384000,No,Yes,Yes,No,No,"-8.493057116247716, 119.87778995415725",https://lh6.googleusercontent.com/proxy/1Jopo_hxKEyYrFmWbqvoXTvXRin4Imh0q0Jp1J3CIcLIAZNy7jgtjIZPEyoRT4T4LoCHW2DexGk2Zkfv9ketR-FtRriLyPtCZQcOsWZC3Xw64TyXW0ydyRPqrse_GymHqG_n3NVwVINykLuz6WbT_8OyEiZ4Vfo=w408-h270-k-no,Basic
Bajo Sunset Hostel and Grill,4,95,1-star hotel,315000,Yes,Yes,Yes,Yes,No,"-8.486241005259547, 119.87785016765004",https://lh5.googleusercontent.com/p/AF1QipMmsrNkeO7SXlNwShqTxKqs4MhPpHivAj-YCMRh=w408-h306-k-no,Basic
The Teuz B&B,4.2,79,2-star hotel,200000,No,Yes,Yes,No,No,"-8.483723605330846, 119.88442036765008",https://lh5.googleusercontent.com/p/AF1QipNV_Y0LIBiSIf1bUCZOF-3sZHL7QcwieO7OIhWo=w408-h279-k-no,Basic
Wae Molas - Your Urban Oasis,4.7,63,3-star hotel,693000,Yes,Yes,No,No,Yes,"-8.499342804888023, 119.88211569648585",https://lh5.googleusercontent.com/p/AF1QipPGOWbCPJeqG96EgbcvCXIJ3fAuZW2bhLCrgfHL=w880-h240-k-no,Deluxe
Villa Alam Flores Komodo Labuan Bajo RedPartner,4,23,4-star hotel,891000,No,Yes,No,No,No,"-8.492769983405918, 119.88519956765013",https://lh4.googleusercontent.com/proxy/t-lancZ3CM7q62elBPqfJleKwoKE-K2uUBvzmbwaaQq7pJIlpPhtCQFPXkbA69TSpQy3sSF06v7QGhl1ICJpEXDtsX5eP19wo6vBdPxGncI4vEHauYoj6h7-sIeHUcnlogUSkJKK5bD388OGc8ZALUPD7cFIvYM=w408-h272-k-no,Deluxe
Luwansa Beach Resort,4.2,820,4-star hotel,544000,Yes,Yes,Yes,No,No,"-8.518658304339406, 119.87352496765044",https://lh5.googleusercontent.com/proxy/Jb5C_nej5GWLVWK9_rNWxT_6vV4VoFXN5RAe8CYmZJlQMgQeof6X-gCG_RhtioMvqThILE8fkKY6OS-iyeNpCMqMZlUCM-Pa1-SHf6cJ7ALsGidLZF1QVAsCfYrnpPbrrzsQirOlt8EE4mWGqIwm4R8K4MuRNO4=w426-h240-k-no,Deluxe
de Chocolate hostel-hotel-Lounge Bar,3.8,154,2-star hotel,455000,No,Yes,Yes,No,No,"-8.495424116115172, 119.87885466765024",https://lh5.googleusercontent.com/p/AF1QipN0TzgDaTT5FG5fukmeucuN7os3QBQb6n2bsBe-=w517-h240-k-no,Deluxe
Aulya Hotel Labuhanbajo,3.6,84,3-star hotel,450000,No,Yes,No,No,No,"-8.496743599339695, 119.8852435748742",https://lh6.googleusercontent.com/proxy/6yU9Xyh_oh72AtGV0ZXT8FPuLUQ6pAdY5V63b1JmSLErh4nYPRMmJ_Jspw9YGvef-p06JWSIONzEnrUxm_s-hLJU244FQeQDykx3nAcncBYk4j9ohMK-9wHN4enZ46tLEglimjLmABu0NbIvj1uwZOHIlrR0fA=w426-h240-k-no,Deluxe
Hotel Palm Bajo,4.4,9,3-star hotel,594000,No,Yes,No,No,No,"-8.501177810039751, 119.88164403254596",https://lh5.googleusercontent.com/p/AF1QipMbAdfCOMtecVhhmunwctq1ZJ4wd2HiKNFpTO6P=w408-h306-k-no,Deluxe
Selini on the Hill Villas & Spa,4,180,3-star hotel,573000,No,Yes,Yes,Yes,Yes,"-8.49904377185098, 119.87921898114288",https://lh4.googleusercontent.com/proxy/pH8_NhNvpnSKs5pwXax6keMgFFJ_iLuR44R5EFUmqSQt55HJDpnNxQFlvuY53YLoaFFOKYF8RsNAqxVWo3X30sZloVSSvbxHW9olBKCOUmldERqll72nWUMydqMtUZL_j7zHJDdjKZXQmZsprI6W7rR-uSSPuqA=w408-h272-k-no,Deluxe
Hotel KALTON,4.2,175,2-star hotel,516000,No,Yes,Yes,No,No,"-8.503002915690361, 119.88108949648591",https://lh5.googleusercontent.com/p/AF1QipO8-RwcjUjUeDad0eQLVR7acp8Cu7d9S08ADjWj=w408-h306-k-no,Deluxe
Centro Bajo Hotel & Resto,4.1,233,3-star hotel,486000,No,No,Yes,No,No,"-8.506104704696119, 119.88403751182884",https://lh4.googleusercontent.com/proxy/NPxecjd-Rgz3M7Cxu_ajbslTvsaufh9_jiJx0PlsQKklTSgGeBis000-KncNTIEyaLAcU4cQmROq0_x1aLTMQCy52-su0wiac3kOSqXZFTsJhD7Js3-CF48cCS5MBwaw_WFjxmFq4DY002mt-OBqMvw7dLJfbg=w437-h240-k-no,Deluxe
